CS_number,name,country,latitude,longitude,collector,seq_by,Experiment,N_source,N_concentration,N_treatment,Leaf_Area,Total_roots,PR_length,Number_of_LR,Total_LR,LR_density,LR_length,LR_to_total_roots,LR_to_PR,X2MSO,X3OHP,X4OHB,X3MSO,OH_3_Butenyl,X4MSO,Allyl,X5MSO,Branches,X3_Butenyl,X6MSO,X3MT,X7MSO,X4_Pentenyl,X4MT,X8MSO,I3M,X4MOI3M,Aliphatic,Indolic,C3,C4,C3_ratio,Alk,GSOH,SC,LC,Total_GSL
CS76362,Angel-1,ITA,38.62,16.17,0,MPI,C,KNO3,1,KNO3_1,5.163047791,37,31.945,0.5,5.055,0.015417823,10.11,0.118829337,0.155874191,1.44E-17,8.63E-15,0,0,0.042252296,1.47E-15,0,0,1.08E-15,0.074984225,0,0,7.85E-15,1.22E-16,0.027442456,0.067763085,0.023462009,0.027555388,0.212442063,0.051017397,0,0.144678978,1.48E-14,0.5,0.360402166,0.144678978,0.067763085,0.26345946
CS76362,Angel-1,ITA,38.62,16.17,0,MPI,C,NH4HCO3,1,NH4HCO3_1,7.678000511,66.6,40.75,7,25.85,0.123543947,3.692857143,0.238556663,0.456230144,1.20E-17,1.03E-14,0,7.09E-17,0.239215237,1.24E-15,0,0,9.73E-16,0.35004683,0,0,0,1.08E-16,0.030216307,0.092039395,0.094934434,0.054322771,0.711517769,0.149257205,0,0.619478374,1.47E-14,0.972530772,0.663278272,0.619478374,0.092039395,0.860774973
CS76364,Mammo-2,ITA,38.38,16.22,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,3.83411836,32.09,27.05,4,5.04,0.147874307,1.26,0.157058274,0.186321627,3.45E-17,0,0,0,0.59778765,5.38E-16,0,1.72E-17,2.34E-17,2.025263331,3.57E-17,0,6.13E-15,2.20E-16,3.14E-14,0.166968275,0.307139172,0.047874545,2.790019255,0.355013717,0,2.623050981,4.94E-14,1,0.227897839,2.623050981,0.166968275,3.145032973
CS76364,Mammo-2,ITA,38.38,16.22,0,MPI,C,KNO3,1,KNO3_1,4.199124396,28.9,28.9,7.09E-12,3.54E-11,0,NA,0,4.61E-13,3.92E-17,0,0,0,0.271086366,4.14E-16,0,1.54E-17,1.13E-16,8.13E-14,3.08E-17,0,7.06E-15,2.23E-16,3.01E-14,0.077382836,0.044606029,0.022253726,0.348469202,0.066859756,0,0.271086366,4.95E-14,1,1,0.271086366,0.077382836,0.415328958
CS76364,Mammo-2,ITA,38.38,16.22,0,MPI,C,KNO3,0.1,KNO3_0.1,2.353266009,20.52,20.52,6.15E-12,2.90E-11,4.80E-15,NA,0,0,0,9.55E-15,7.41E-15,0,7.15E-15,2.00E-15,8.50E-14,0,0,0,1.03E-16,2.15E-16,3.97E-15,0,0,0.027146459,0.021631964,0.188760993,0.027146459,0.210392957,1.72E-13,2.33E-13,NA,NA,NA,1.46E-13,0.027146459,0.237539416
CS76364,Mammo-2,ITA,38.38,16.22,0,MPI,C,NH4HCO3,1,NH4HCO3_1,3.526040163,19.69,15.335,0.5,4.355,0.022222222,8.71,0.13953861,0.193555556,4.23E-17,0,0,2.37E-16,0.161482128,5.28E-16,0,1.77E-17,4.20E-17,8.27E-14,3.78E-17,0,5.17E-15,2.01E-16,3.01E-14,0.066592097,0.054072335,0.00698836,0.228074225,0.061060695,0,0.161482128,4.97E-14,1,1,0.161482128,0.066592097,0.28913492
CS76365,Mammo-1,ITA,38.36,16.23,0,MPI,C,KNO3,1,KNO3_1,1.844759196,44.315,39.66,1,4.655,0.018341893,4.655,0.07292809,0.085381512,3.10E-18,0,0,0,0.037515433,5.99E-16,0,8.27E-18,0,0.195599813,4.23E-17,0,1.70E-16,0,0.056192053,0.01138452,0.031239091,0.004187059,0.30069182,0.035426149,0,0.2893073,0,0.481686138,0.160930842,0.2893073,0.01138452,0.33611797
CS76365,Mammo-1,ITA,38.36,16.23,0,MPI,C,NH4HCO3,1,NH4HCO3_1,3.866965682,36.065,35.505,0.5,0.56,0.012324378,1.12,0.013432478,0.013803303,0,2.36E-16,0,0,0.396877632,4.31E-16,0,9.33E-18,0,0.616555724,4.71E-17,0,5.90E-17,0,0.068836333,0.079276424,0.093699949,0.021359884,1.161546113,0.115059833,0,1.082269689,0,0.939629785,0.391726169,1.082269689,0.079276424,1.276605946
CS76365,Mammo-1,ITA,38.36,16.23,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,0.880350195,20.63,20.63,0,0,0,NA,1.24E-13,3.68E-13,9.60E-18,0,0,2.32E-16,0,3.78E-16,0,9.80E-18,0,0,3.56E-17,0,4.39E-16,0,1.35835268,0.763013642,0.305205457,0,2.121366322,0.305205457,0,1.35835268,0,7.43E-14,NA,1.35835268,0.763013642,2.426571779
CS76366,Angit-1,ITA,38.76,16.24,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,3.188569696,24.95,24.95,1.33E-11,9.16E-11,1.59E-13,NA,1.16E-13,0,0,2.82E-14,1.84E-14,0,0,4.93E-16,3.84E-13,0,3.94E-16,0,3.28E-17,1.69E-15,2.98E-15,0,0,8.40E-14,3.66E-14,0.033657478,4.18E-13,0.033657478,4.35E-13,0,NA,NA,NA,2.01E-13,9.76E-14,0.033657478
